Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS5_HistoryPage,Edge Chromium 129,,,03-10-2024 01:30:51,03-10-2024 01:31:09,18.167s,PASSED
,,,,,,,
Test Cases/TC5_HistoryPage,Edge Chromium 129,,,03-10-2024 01:30:51,03-10-2024 01:31:09,17.822s,PASSED
"openBrowser("""")",Edge Chromium 129,,,03-10-2024 01:30:52,03-10-2024 01:30:58,6.335s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Edge Chromium 129,,,03-10-2024 01:30:58,03-10-2024 01:31:02,3.869s,PASSED
"click(findTestObject(""Object Repository/TC5_HistoryPage_OR/a_CURA Healthcare_menu-toggle""))",Edge Chromium 129,,,03-10-2024 01:31:02,03-10-2024 01:31:03,0.588s,PASSED
"click(findTestObject(""Object Repository/TC5_HistoryPage_OR/a_Login""))",Edge Chromium 129,,,03-10-2024 01:31:03,03-10-2024 01:31:03,0.759s,PASSED
"click(findTestObject(""Object Repository/TC5_HistoryPage_OR/span_Demo account_glyphicon glyphicon-user""))",Edge Chromium 129,,,03-10-2024 01:31:03,03-10-2024 01:31:04,0.441s,PASSED
"setText(findTestObject(""Object Repository/TC5_HistoryPage_OR/input_Username_username""), ""John Doe"")",Edge Chromium 129,,,03-10-2024 01:31:04,03-10-2024 01:31:05,0.689s,PASSED
"setText(findTestObject(""Object Repository/TC5_HistoryPage_OR/input_Demo account_form-control""), ""ThisIsNotAPassword"")",Edge Chromium 129,,,03-10-2024 01:31:05,03-10-2024 01:31:05,0.707s,PASSED
"click(findTestObject(""Object Repository/TC5_HistoryPage_OR/input_Demo account_form-control""))",Edge Chromium 129,,,03-10-2024 01:31:05,03-10-2024 01:31:06,0.335s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC5_HistoryPage_OR/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 129,,,03-10-2024 01:31:06,03-10-2024 01:31:06,0.495s,PASSED
"click(findTestObject(""Object Repository/TC5_HistoryPage_OR/button_Login""))",Edge Chromium 129,,,03-10-2024 01:31:06,03-10-2024 01:31:07,1.036s,PASSED
"click(findTestObject(""Object Repository/TC5_HistoryPage_OR/a_CURA Healthcare_menu-toggle""))",Edge Chromium 129,,,03-10-2024 01:31:07,03-10-2024 01:31:08,0.516s,PASSED
"click(findTestObject(""Object Repository/TC5_HistoryPage_OR/a_History""))",Edge Chromium 129,,,03-10-2024 01:31:08,03-10-2024 01:31:08,0.628s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/TC5_HistoryPage_OR/h2_History""), 0)",Edge Chromium 129,,,03-10-2024 01:31:08,03-10-2024 01:31:09,0.485s,PASSED
closeBrowser(),Edge Chromium 129,,,03-10-2024 01:31:09,03-10-2024 01:31:09,0.399s,PASSED
